  authorId                     name                                                                                      affiliations                              email
 145298798               S. Fuentes                                                                          University of Washington               S._Fuentes@gmail.com
  13288046   Claudia Gonzalez Viejo                                                                          University of Washington   Claudia_Gonzalez_Viejo@gmail.com
   1709901              Ee-Peng Lim                                                               University of California, San Diego              Ee-Peng_Lim@gmail.com
 143701176          Knut Hinkelmann                             FHNW University of Applied Sciences and Arts Northwestern Switzerland          Knut_Hinkelmann@gmail.com
2109247625             Sajjad Ahmed                                                                                   Yale University             Sajjad_Ahmed@gmail.com
2292166946            Kishore Kumar                                                             Massachusetts Institute of Technology            Kishore_Kumar@gmail.com
 145508283         Daniil Kononenko                                                                               Columbia University         Daniil_Kononenko@gmail.com
   5371772                   L. May                                                                        University of Pennsylvania                   L._May@gmail.com
  49170958                   Y. Kim                                                                          University of Washington                   Y._Kim@gmail.com
   2242129             Youngdoo Son                                                                               Stanford University             Youngdoo_Son@gmail.com
   2821001              Wonjoon Kim                                                                                   Yale University              Wonjoon_Kim@gmail.com
   2328680                M. Masugi                                                                             University of Chicago                M._Masugi@gmail.com
   8625509             N. Schuelper                                                                              University of Oxford             N._Schuelper@gmail.com
  11735268               M. Dübbers                                                                California Institute of Technology               M._Dübbers@gmail.com
   5019281               T. Raupach                                                                               Stanford University               T._Raupach@gmail.com
   2701404                A. Kucera                                                                        University of Pennsylvania                A._Kucera@gmail.com
1390043728       Noah Wardrip-Fruin                                                                University of California, Berkeley       Noah_Wardrip-Fruin@gmail.com
   2185666          Dinah Rosenberg                                                             Massachusetts Institute of Technology          Dinah_Rosenberg@gmail.com
 145748799     David R. M. Thompson                                                                                        ['Google']     David_R._M._Thompson@gmail.com
 144879753           Samantha Leung                                                                                   Yale University           Samantha_Leung@gmail.com
 144154444            Marcus Hutter                                                                        University of Pennsylvania            Marcus_Hutter@gmail.com
 103296599                 M. Preti                                                             University of California, Los Angeles                 M._Preti@gmail.com
 145231705       Charles A. Kamhoua                                                                                   Yale University       Charles_A._Kamhoua@gmail.com
 145190435            A. Bensoussan                                                                                Harvard University            A._Bensoussan@gmail.com
   2324546         Levi H. S. Lelis                                                             Massachusetts Institute of Technology         Levi_H._S._Lelis@gmail.com
1742415696             E. Whitehead                                                                University of California, Berkeley             E._Whitehead@gmail.com
   1717955          James C. Lester                                                                                Harvard University          James_C._Lester@gmail.com
 145481292         Christian Reuter                                                                        University of Pennsylvania         Christian_Reuter@gmail.com
